image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20World%20God%20Only%20Knows/media/The_World_God_Only_Knows_S1_04_0.19.47.907.jpg"">",空,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20World%20God%20Only%20Knows/media/The_World_God_Only_Knows_S1_04_0.19.47.340-0.19.48.474.mp3],Sora...,空[そら],601,空
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/From%20Up%20on%20Poppy%20Hill/media/A_FromUpOnPoppyHill_1_0.23.20.720.jpg"">",空！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/From%20Up%20on%20Poppy%20Hill/media/A_FromUpOnPoppyHill_1_0.23.19.970-0.23.21.470.mp3],Sοra?,空[そら]！,601,空
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_47_0.06.06.360.jpg"">",出せ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_47_0.06.05.810-0.06.06.910.mp3],Let us out!,出[だ]せ,2556,出す
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura08_1_0.09.47.121.jpg"">",出せ！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura08_1_0.09.46.683-0.09.47.559.mp3],Hand them over!,出[だ]せ！,2556,出す
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_03_0.10.16.695.jpg"">",出せ！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_03_0.10.16.070-0.10.17.320.mp3],Shut up!,出[だ]せ！,2556,出す
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_147_0.10.11.529.jpg"">",皮肉ね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_147_0.10.10.841-0.10.12.217.mp3],It's ironic.,皮肉[ひにく]ね,2769,皮肉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Stay%20Night%20Unlimited%20Blade%20Works/media/Fate_Stay_Night_UBW_S02_21_0.07.00.580.jpg"">",皮肉だな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Stay%20Night%20Unlimited%20Blade%20Works/media/Fate_Stay_Night_UBW_S02_21_0.06.59.830-0.07.01.330.mp3],How ironic.,皮肉[ひにく]だな,2769,皮肉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/My%20Little%20Sister%20Can't%20Be%20This%20Cute/media/Oreimo_S01E07_0.19.58.220-0.19.59.950.jpg"">",何それ　皮肉,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/My%20Little%20Sister%20Can't%20Be%20This%20Cute/media/Oreimo_S01E07_0.19.58.220-0.19.59.950.mp3],"What, are you trying to be sarcastic?",何[なん]それ　 皮肉[ひにく],2769,皮肉
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_-_02_0.11.21.670-0.11.22.730.jpg"">",攻歩菌？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_-_02_0.11.21.670-0.11.22.730.mp3],Yeast fungus?,攻[こう] 歩[ふ] 菌[きん]？,628,歩
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Noragami/media/A_Noragami_E03_1_0.10.20.815.jpg"">",歩喩です,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Noragami/media/A_Noragami_E03_1_0.10.20.480-0.10.21.150.mp3],I'm Ayu!,歩[ふ]喩です,628,歩
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Boku%20no%20Hero%20Academia%20Season%201/media/A_My_Hero_Academia_S01_E03_1_0.08.05.800.jpg"">",第一歩…｡,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Boku%20no%20Hero%20Academia%20Season%201/media/A_My_Hero_Academia_S01_E03_1_0.08.04.530-0.08.07.070.mp3],My first step...?,第一歩[だいいっぽ]…｡,628,歩
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_22_0.21.15.620.jpg"">",リボンの色で見分けてるのに,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_22_0.21.14.640-0.21.16.600.mp3],I'm telling you apart by  the color of your ribbons!,リボンの 色[いろ]で 見分[みわ]けてるのに,2700,見分ける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E05_1_0.11.55.540.jpg"">",本ボシだ　それをどう見分ける,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E05_1_0.11.54.250-0.11.56.830.mp3],The real culprit is someone whose level of activity matches that enthusiasm.,本[ほん]ボシだ　それをどう 見分[みわ]ける,2700,見分ける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_-_10_0.04.52.220-0.04.55.540.jpg"">",皆ツインテだから見分けつくかな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_-_10_0.04.52.220-0.04.55.540.mp3],"With all of us in pigtails, can you tell the difference?",皆[みな]ツインテだから 見分[みわ]けつくかな,2700,見分ける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_23_0.21.36.640-0.21.37.760.jpg"">",調査は直行するよ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_23_0.21.36.640-0.21.37.760.mp3],I'll continue the search.,調査[ちょうさ]は 直行[ちょっこう]するよ,2905,直行
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E16_1_0.05.31.025.jpg"">",ええ　アンテナ区画に直行よ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Psycho%20Pass/media/A_PsychoPassS01_E16_1_0.05.29.640-0.05.32.410.mp3],Not the government office floor?,ええ　アンテナ 区画[くかく]に 直行[ちょっこう]よ,2905,直行
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Little%20Witch%20Academia/media/A-LittleWitchAcademia16_1_0.02.50.071.jpg"">",(アッコ )ロッテの家まで直行！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Little%20Witch%20Academia/media/A-LittleWitchAcademia16_1_0.02.49.103-0.02.51.039.mp3],Let's fly straight to Lotte's house!,(アッコ)ロッテの 家[いえ]まで 直行[ちょっこう]！,2905,直行
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Daily%20Lives%20of%20High%20School%20Boys/media/A_DailyLivesofHighSchoolBoys_S01E03_1_0.08.46.360.jpg"">",お題は世界の黒人大統領の名前,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Daily%20Lives%20of%20High%20School%20Boys/media/A_DailyLivesofHighSchoolBoys_S01E03_1_0.08.44.380-0.08.48.340.mp3],Topic: Names of foreign presidents!,お 題[だい]は 世界[せかい]の 黒人[こくじん] 大統領[だいとうりょう]の 名前[なまえ],2989,黒人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Durarara!!/media/A_Durarara_S01_01_0.12.36.422.jpg"">",いや　板前の格好をした黒人が　巨漢で…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Durarara!!/media/A_Durarara_S01_01_0.12.34.628-0.12.38.215.mp3],"No, a huge black guy was dressed as a chef...",いや　 板前[いたまえ]の 格好[かっこう]をした 黒人[こくじん]が　 巨漢[きょかん]で…,2989,黒人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Durarara!!/media/A_Durarara_S01_01_0.12.40.614.jpg"">",いや　客引きが板前の衣装を　しているが　それはなぜか黒人で…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Durarara!!/media/A_Durarara_S01_01_0.12.38.424-0.12.42.803.mp3],"No, some guy dressed as a chef was  handing out flyers and happened to be black...",いや　 客引[きゃくひ]きが 板前[いたまえ]の 衣装[いしょう]を　しているが　それはなぜか 黒人[こくじん]で…,2989,黒人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Daily%20Lives%20of%20High%20School%20Boys/media/A_DailyLivesofHighSchoolBoys_S01E08_1_0.14.38.290.jpg"">",パイ投げ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Daily%20Lives%20of%20High%20School%20Boys/media/A_DailyLivesofHighSchoolBoys_S01E08_1_0.14.37.810-0.14.38.770.mp3],Pie throwing.,パイ 投[な]げ,686,投
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_019_0.21.56.310.jpg"">",投げっぱなしで終わりかい！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_019_0.21.55.329-0.21.57.290.mp3],You're just going to end it?!,投[な]げっぱなしで 終[お]わりかい！,686,投
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_07_0.21.44.750.jpg"">",それが ぶどう投げ祭りの始まりじゃ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Wandering%20Witch%20The%20Journey%20of%20Elaina/media/WanderingWitch_07_0.21.43.000-0.21.46.500.mp3],And that's the story of how the Grape-Throwing Festival began.,それが ぶどう 投[な]げ 祭[まつ]りの 始[はじ]まりじゃ,686,投
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_12_0.07.41.880-0.07.43.230.jpg"">",楽,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_12_0.07.41.880-0.07.43.230.mp3],Raku?,楽[らく],3073,楽
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_11_0.00.29.500-0.00.30.660.jpg"">",楽ー,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_11_0.00.29.500-0.00.30.660.mp3],Raku!,楽[らく]ー,3073,楽
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_11_0.10.32.170-0.10.32.860.jpg"">",楽君,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_11_0.10.32.170-0.10.32.860.mp3],Raku-kun.,楽[らく] 君[くん],3073,楽
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_104_0.11.26.574.jpg"">",違う道を歩いてきた者が交わる接点,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_104_0.11.24.676-0.11.28.472.mp3],The point of congruence between two  people who walked different paths...,違[ちが]う 道[みち]を 歩[ある]いてきた 者[もの]が 交[まじ]わる 接点[せってん],3466,交わる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_61_0.00.10.765.jpg"">",太陽と月が交わるということは　雌雄同体,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_61_0.00.08.560-0.00.12.970.mp3],"When the sun and the moon come together, they become one...",太陽[たいよう]と 月[つき]が 交[まじ]わるということは　 雌雄同体[しゆうどうたい],3466,交わる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_122_0.10.14.374.jpg"">",《その２つが 絶対に交わらないことに！》,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_122_0.10.12.374-0.10.16.374.mp3],that those two sides are incompatible.,《その ２[ふた]つが 絶対[ぜったい]に 交[まじ]わらないことに！》,3466,交わる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E01_1_0.10.26.305.jpg"">",彼女の荷物持ちだ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E01_1_0.10.25.690-0.10.26.920.mp3],Her porter.,彼女[かのじょ]の 荷[に] 物持[ものも]ちだ,727,持
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E02_1_0.07.40.045.jpg"">",お前は昨日の荷物持ち,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E02_1_0.07.39.040-0.07.41.050.mp3],You're the porter from yesterday.,お 前[まえ]は 昨日[きのう]の 荷[に] 物持[ものも]ち,727,持
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E02_1_0.07.42.755.jpg"">",荷物持ちじゃねぇって,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kanon%20(2006)/media/A_Kanon_E02_1_0.07.42.000-0.07.43.510.mp3],I'm not a porter!,荷[に] 物持[ものも]ちじゃねぇって,727,持
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A-test_1_0.16.47.598.jpg"">",お返し,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A-test_1_0.16.47.055-0.16.48.140.mp3],Right...,お 返[かえ]し,858,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fruits%20Basket%20Season%201/media/A_FruitsBasket_S01E03_1_0.06.02.205.jpg"">",革命返し,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fruits%20Basket%20Season%201/media/A_FruitsBasket_S01E03_1_0.06.01.537-0.06.02.872.mp3],Revolution Reversal.,革命[かくめい] 返[がえ]し,858,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A_SteinsGateS01_E19_1_0.12.36.367.jpg"">",返せっ！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A_SteinsGateS01_E19_1_0.12.35.929-0.12.36.805.mp3],Give it back!,返[かえ]せっ！,858,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.19.33.630-0.19.35.440.jpg"">",手は第十話の角度,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.19.33.630-0.19.35.440.mp3],And my hand will be at the angle from episode 10!,手[て]は 第十[だいじゅう] 話[はなし]の 角度[かくど],3126,角度
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_108_0.02.07.519.jpg"">",風よし　角度よし…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_108_0.02.06.497-0.02.08.540.mp3],Wind: Check. Angle: Check.,風[かぜ]よし　 角度[かくど]よし…,3126,角度
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.19.31.320-0.19.33.310.jpg"">",肘の角度は60°前後,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_02_0.19.31.320-0.19.33.310.mp3],My elbow should be bent at approximately 60 degrees.,肘[ひじ]の 角度[かくど]は60° 前後[ぜんご],3126,角度
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_06_0.04.51.790.jpg"">",発売日って　雑誌の,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_06_0.04.50.820-0.04.52.760.mp3],Release date? For the magazine?,発売[はつばい] 日[び]って　 雑誌[ざっし]の,3134,発売
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_08_0.00.53.715.jpg"">",発売したら買ってよね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_08_0.00.52.590-0.00.54.840.mp3],You should buy it when it's out.,発売[はつばい]したら 買[か]ってよね,3134,発売
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_06_0.14.21.285.jpg"">",発売日に拘りはないわ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_06_0.14.20.230-0.14.22.340.mp3],There's nothing special about the release day.,発売[はつばい] 日[び]に 拘[かかわ]りはないわ,3134,発売
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E04_1_0.03.28.530.jpg"">",聞けーッ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E04_1_0.03.28.035-0.03.29.025.mp3],No!,聞[き]けーッ,763,聞
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_56_0.18.12.970.jpg"">",人の話を聞けー！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_56_0.18.11.320-0.18.14.620.mp3],Listen to what I tell you!!,人[ひと]の 話[はなし]を 聞[き]けー！,763,聞
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad/media/A_ClannadS01_E17_1_0.16.09.890.jpg"">",待て待て待てっ、聞けっ！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad/media/A_ClannadS01_E17_1_0.16.08.930-0.16.10.850.mp3],Hold on a bit! Now listen!,待[ま]て 待[ま]て 待[まち]てっ、 聞[き]けっ！,763,聞
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_05_0.05.25.715.jpg"">",あっ　木渡さんは　化かし合いは苦手ですか？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_05_0.05.23.850-0.05.27.630.mp3],"Oh, Kiwatari, are you perhaps not very good at games of deception?",あっ　 木[き] 渡[わたる]さんは　 化[ば]かし 合[あ]いは 苦手[にがて]ですか？,3494,化かす
"<img src="""">",俺も昔は、駆け引きと化かし合いの世界に生きてたもんだが…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/games/Cyberpunk%202077/media/victor_vector_q001_f_18bbf18eda2ef000.mp3],"I used to live in a world where all that mattered was who's who, what's what and how's why.",俺[おれ]も 昔[むかし]は、 駆[か]け 引[ひ]きと 化[ば]かし 合[あ]いの 世界[せかい]に 生[い]きてたもんだが…,3494,化かす
"<img src="""">",とうとう六兵衞に化かされて、,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/literature/Kitsune%20Monogatari/media/f000119.mp3],,とうとう六兵衞に化かされて、,3494,化かす
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura21_1_0.03.38.585.jpg"">",速～い！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura21_1_0.03.37.667-0.03.39.502.mp3],She's fast!,速[はや]～い！,741,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_8_0.11.51.140.jpg"">",くそ　速えー,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_8_0.11.50.460-0.11.52.070.mp3],"Damn, she's fast!",くそ　 速[はや]えー,741,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E02_1_0.13.16.281.jpg"">",りっちゃん　速～い,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/K-On!/media/A_KOn_S01E02_1_0.13.15.656-0.13.16.906.mp3],You're fast!,りっちゃん　 速[はや]～い,741,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura19_1_0.02.30.404.jpg"">",算数のドリルと絵日記と,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura19_1_0.02.28.400-0.02.32.408.mp3],"The math worksheets, the picture diary...",算数[さんすう]のドリルと 絵日記[えにっき]と,3206,算数
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_36_0.03.28.235.jpg"">",相変わらず算数が苦手で―,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_36_0.03.27.450-0.03.29.020.mp3],I'm still not good at math...,相変[あいか]わらず 算数[さんすう]が 苦手[にがて]で―,3206,算数
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_47_0.03.07.270.jpg"">",算数のドリルに　国語のドリル,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_47_0.03.06.070-0.03.08.470.mp3],Math drills and Japanese drills...,算数[さんすう]のドリルに　 国語[こくご]のドリル,3206,算数
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E10_1_0.00.49.600.jpg"">",公開ディープキスの刑よ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E10_1_0.00.48.620-0.00.50.580.mp3],I'll punish you with a French kiss in public.,公開[こうかい]ディープキスの 刑[けい]よ,3186,公開
