image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_01_0.07.55.650-0.07.58.570.jpg"">",ところで　集　例の写真集は,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_S2_-_01_0.07.55.650-0.07.58.570.mp3],"By the way, Shu, about the photo-book...",ところで　 集[しゅう]　 例[れい]の 写真集[しゃしんしゅう]は,7,集
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_29_0.11.21.280.jpg"">",へぇ～　写真集を出したんだ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_29_0.11.19.970-0.11.22.590.mp3],Wow. So you released a photobook?,へぇ～　 写真集[しゃしんしゅう]を 出[だ]したんだ,7,集
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_07_0.05.38.090-0.05.39.780.jpg"">",すぐ受け入れた,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_07_0.05.38.090-0.05.39.780.mp3],That was fast!,すぐ 受[う]け 入[い]れた,8,受け入れる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_13_0.09.42.145.jpg"">",それを受け入れろう,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Pet%20Girl%20of%20Sakurasou/media/Sakurasou_no_Pet_na_Kanojo_13_0.09.41.130-0.09.43.160.mp3],Accept that!,それを 受け入[うけい]れろう,8,受け入れる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_44_0.15.58.960.jpg"">",受け入れるの　　早いな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_44_0.15.57.750-0.16.00.170.mp3],You accept things pretty quickly.,受け入[うけい]れるの　　 早[はや]いな,8,受け入れる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_18_0.20.48.430.jpg"">",こ…　今週末,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_18_0.20.47.500-0.20.49.360.mp3],W-What about this weekend?,こ…　 今週末[こんしゅうまつ],9,末
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_32_0.19.36.365.jpg"">",２１世紀末…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_32_0.19.35.440-0.19.37.290.mp3],At the end of the 21st century...,２１ 世紀末[せいきまつ]…,9,末
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_03_0.05.40.330-0.05.42.860.jpg"">",末永く お幸せに,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_03_0.05.40.330-0.05.42.860.mp3],We wish you everlasting happiness together!,末[すえ] 永[なが]く お 幸[しあわ]せに,9,末
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_04_0.12.26.595.jpg"">",ついでに 西洋の剣も あります！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_04_0.12.25.280-0.12.27.910.mp3],I even have a Western-style sword.,ついでに 西洋[せいよう]の 剣[けん]もあります！,10,西洋
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Stay%20Night%20Unlimited%20Blade%20Works/media/Fate_Stay_Night_Unlimited_Blade_Works_S1_07_0.02.55.486.jpg"">",西洋の棒振りにも 術理はあったのだな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Stay%20Night%20Unlimited%20Blade%20Works/media/Fate_Stay_Night_Unlimited_Blade_Works_S1_07_0.02.53.926-0.02.57.045.mp3],It appears Western swordplay is more than mere flailing after all.,西洋[せいよう]の 棒[ぼう] 振[ふ]りにも 術[じゅつ] 理[り]はあったのだな,10,西洋
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura08_1_0.15.15.600.jpg"">",せやから　クロウの魔術には　西洋魔術と東洋魔術が　交ざっとるもんが多い,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura08_1_0.15.13.264-0.15.17.936.mp3],"So, much of Clow's magic is a combination of western and eastern magic.",せやから　クロウの 魔術[まじゅつ]には　 西洋[せいよう] 魔術[まじゅつ]と 東洋[とうよう] 魔術[まじゅつ]が　 交[ま]ざっとるもんが 多[おお]い,10,西洋
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_93_0.07.36.105.jpg"">",付き合って。,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_93_0.07.34.855-0.07.37.355.mp3],Go out with me.,付き合[つきあ]って。,11,合わせる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_20_0.17.34.270-0.17.35.240.jpg"">",付き合うけど,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_20_0.17.34.270-0.17.35.240.mp3],"If you really insisted on it, then I wouldn't mind keeping you company.",付[つ]き 合[あ]うけど,11,合わせる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Sound!%20Euphonium/media/Hibike_Euphonium_13_0.09.20.120.jpg"">",音合ってない,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Sound!%20Euphonium/media/Hibike_Euphonium_13_0.09.19.470-0.09.20.770.mp3],I'm out of tune.,音[おと] 合[あ]ってない,11,合わせる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.17.25.935.jpg"">",10進数に直せば　こうだ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.17.24.990-0.17.26.930.mp3],"In decimal notation, that'd be this.",10 進数[しんすう]に 直[なお]せば　こうだ,12,進
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.18.15.170.jpg"">",16進数の１は　10進数でも１,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.18.13.660-0.18.16.730.mp3],The number 1 is the same in both hexadecimal and decimal.,16 進数[しんすう]の１は　 10 進数[しんすう]でも１,12,進
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.20.53.105.jpg"">",これらは　16進数ということを示す　単なるヒント,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.20.51.200-0.20.55.060.mp3],A simple hint about hexadecimal notation.,これらは　 16 進数[しんすう]ということを 示[しめ]す　 単[たん]なるヒント,12,進
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_09_0.08.07.124.jpg"">",いいお湯ね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_09_0.08.06.156-0.08.08.091.mp3],What a lovely bath.,いいお 湯[ゆ]ね,13,湯
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_43_0.10.45.465.jpg"">",お湯の温度,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_43_0.10.44.750-0.10.46.180.mp3],The temperature of the hot water.,お 湯[ゆ]の 温度[おんど],13,湯
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_07_0.07.39.008.jpg"">",お湯だね お湯,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_07_0.07.38.174-0.07.39.842.mp3],It's hot water again.,お 湯[ゆ]だねお 湯[ゆ],13,湯
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Princess%20Mononoke/media/A_PrincessMononoke_1_1.1.44.251.jpg"">",何のために　こんなクサイ毛皮を　かぶって耐えてきたんじゃ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Princess%20Mononoke/media/A_PrincessMononoke_1_1.1.42.729-1.1.45.773.mp3],There's why we've been sitting in these stinking bearskins!,何[なに]のために　こんなクサイ 毛皮[けがわ]を　かぶって 耐[た]えてきたんじゃ,14,毛皮
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_02_0.00.46.126.jpg"">",この漆黒の毛皮といい ふてぶてしい態度といい— 何か邪悪なオーラを感じるわね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/God's%20Blessing%20on%20this%20Wonderful%20World!/media/KonoSuba_S2_02_0.00.43.223-0.00.49.029.mp3],"Between the jet black fur and the impudent attitude, I sense some sort of malevolent aura!",この 漆黒[しっこく]の 毛皮[けがわ]といいふてぶてしい 態度[たいど]といい 何[なに]か 邪悪[じゃあく]なオーラを 感[かん]じるわね,14,毛皮
"<img src="""">",それは毛皮か？　耳から出ているのか？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/games/Skyrim/media/femalenord_dialogueguardsgeneral__000dd0e1_1.mp3],Is that... fur? Coming out of your ears?,それは 毛皮[けがわ]か？　 耳[みみ]から 出[で]ているのか？,14,毛皮
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Cat%20Returns/media/A_NekonoOngaesh_1_0.53.36.295.jpg"">",猫王様 お待ちを,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/The%20Cat%20Returns/media/A_NekonoOngaesh_1_0.53.35.420-0.53.37.170.mp3],"Your Majesty, wait!",猫[ねこ] 王様[おうさま]お 待[ま]ちを,15,待
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura09_1_0.24.33.882.jpg"">",待ちに待った運動会,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura09_1_0.24.32.964-0.24.34.800.mp3],It's the athletic festival that I've been waiting for.,待[ま]ちに 待[ま]った 運動会[うんどうかい],15,待
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_41_0.24.32.830.jpg"">",待ちに待った学芸会,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura36_41_0.24.31.850-0.24.33.810.mp3],The long awaited school arts festival!,待[ま]ちに 待[ま]った 学芸会[がくげいかい],15,待
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_07_0.19.45.080-0.19.46.020.jpg"">",足の間,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_07_0.19.45.080-0.19.46.020.mp3],Between your legs.,足[あし]の 間[あいだ],16,間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_4_0.08.06.875.jpg"">",いい頃間,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_4_0.08.06.190-0.08.07.810.mp3],This is a good opportunity.,いい 頃[ころ] 間[かん],16,間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E04_1_0.09.51.315.jpg"">",烏間先生,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Assassination%20Classroom%20Season%201/media/A_Assassination_classroom_E04_1_0.09.50.730-0.09.52.150.mp3],Karasuma-sensei?,烏[からす] 間[かん] 先生[せんせい],16,間
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_06_0.12.25.470.jpg"">",ついに乗客はその人一人だけになったんだけど,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_06_0.12.23.350-0.12.27.590.mp3],Until he became the only passenger left on the bus...,ついに 乗客[じょうきゃく]はその 人[ひと]一 人[にん]だけになったんだけど,17,乗客
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.12.28.818.jpg"">",午前10時５分　急停車　乗客　消える　原因不明,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.12.26.549-0.12.31.036.mp3],"We’re in the tunnel the whole way, so it really is pretty scary. 10:05 a.m., sudden stop. Passengers vanish. Cause unknown.",午前[ごぜん] 10 時[じ]５ 分[ふん]　 急停車[きゅうていしゃ]　 乗客[じょうきゃく]　 消[き]える　 原因不明[げんいんふめい],17,乗客
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_19_0.11.05.990.jpg"">",後は急病の乗客を運び出す お医者様がいればオーケイだ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_19_0.11.03.490-0.11.08.490.mp3],Now we just need a doctor to carry the sick patient out.,後[ご]は 急病[きゅうびょう]の 乗客[じょうきゃく]を 運び出[はこびだ]すお 医者[いしゃ] 様[さま]がいればオーケイだ,17,乗客
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_045_0.14.43.989.jpg"">",“苦しみ”！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_045_0.14.43.509-0.14.44.468.mp3],Suffering!,“ 苦[くる]しみ”！,18,苦しい
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_06_0.03.30.800-0.03.32.170.jpg"">",胸が苦しいとか,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_06_0.03.30.800-0.03.32.170.mp3],Or you've got pains in your chest...,胸[むね]が 苦[くる]しいとか,18,苦しい
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad%20After%20Story/media/Clannad_after_story_05_0.15.21.815.jpg"">",苦しい　苦しいよ～,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad%20After%20Story/media/Clannad_after_story_05_0.15.20.980-0.15.22.650.mp3],You're... You're hurting me!,苦[くる]しい　 苦[くる]しいよ ～[〜],18,苦しい
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_13_0.16.00.176.jpg"">",えっと 今年度前期は 昨年対比で,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_13_0.15.57.414-0.16.03.058.mp3],That's why the profit from this year's first half went down,えっと  今年度[こんねんど] 前期[ぜんき]は  昨年[さくねん] 対比[たいひ]で,19,対比
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_17_0.15.49.323.jpg"">",えっと 今年度前期は 昨年対比で,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_17_0.15.46.498-0.15.52.267.mp3],That's why the profit from this year's first half went down,えっと  今年度[こんねんど] 前期[ぜんき]は  昨年[さくねん] 対比[たいひ]で,19,対比
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_18_0.22.17.219.jpg"">",やっぱ目標数値は常に昨年対比を 上回らないといけないのよ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_18_0.22.15.104-0.22.19.454.mp3],"After all, your goals must always outscore last year's!",やっぱ 目標[もくひょう] 数値[すうち]は 常[つね]に 昨年[さくねん] 対比[たいひ]を  上回[うわまわ]らないといけないのよ,19,対比
